name	address	longitude	latitude
Alamo Motel 	425 Bell Street Los Alamos, CA 93440, USA	-120.2787635	34.74444213
ALC Italian Grocery	8613 3rd Ave, Brooklyn, NY 11209	-74.03110602	40.62300016
Anneliese School Store	1816 S Coast Hwy, Laguna Beach, CA 92651	-117.7710187	33.52885076
Andronico's Community Markets	690 Fremont Ave  Los Altos CA	-122.0970262	37.3608811
Andronico's Community Markets	900 Lighthouse Ave  Monterey CA	-121.9034848	36.6177995
Andronico's Community Markets	100 Center Blvd  San Anselmo CA	-122.5631739	37.9770427
Andronico's Community Markets	375 32nd Ave San Francisco CA 94121	-122.4927714	37.78224208
Andronico's Community Markets	1200 Irving St  San Francisco CA	-122.4711457	37.7641482
Andronico's Community Markets	1550 Shattuck Ave  Berkeley CA	-122.2699082	37.8786289
Andronico's Community Markets	1850 Solano Ave  Berkeley CA	-122.2784148	37.8910562
Andy's Local Market	2202 Fifth Ave, San Rafael, CA 94901	-122.5478322	37.98218597
Andy's Local Market	75 Loch Lomond Drive San Rafael, CA  94901	-122.4839618	37.97342199
Andy's Local Market	195 Tamal Vista Blvd, Corte Madera, CA 94925	-122.5183831	37.93529998
Batch USA	2728 Eugenia Ave, Nashville, TN 37211, USA	-86.75329355	36.11315773
Bellport General (Lateral Objects)	138 S Country Rd, Bellport, NY 11713	-72.9388695	40.75756102
Berkeley Bowl Marketplace	2020 Oregon St  Berkeley CA	-122.2672497	37.857113
Berkeley Bowl Marketplace	920 Heinz Ave  Berkeley CA	-122.2903762	37.8535336
Berkeley Natural Grocery	1336 Gilman St  Berkeley CA	-122.288567	37.880892
Berkeley Organic Market	2642 Ashby Ave, Berkeley, CA 94705	-122.2535609	37.85686492
Bi-Rite Market	3639 18th St  San Francisco CA	-122.4247155	37.7613327
Bi-Rite Market	542 Divisadero St  San Francisco CA	-122.4374981	37.7746874
Bianchini's Market	3130 Alpine Road Portola Valley, CA 94028 Suite 415	-122.1930973	37.40154822
Bianchini's Market	810 Laurel Street San Carlos, CA  94070	-122.2579002	37.50321208
Big John's	1345 Healdsburg Ave, Healdsburg, CA 95448	-122.8739252	38.62663148
Board at Home	California	-119.4179	36.7783
Breezy Willow Market	9090 Frederick Rd Ellicott City, MD 21042	-76.82625688	39.2718592
Briar Patch Food Coop	290 Sierra College Dr Grass Valley, CA  95945	-121.0529106	39.23480099
Broc Cellars	1300 Fifth St Berkeley, CA  94710	-122.3025042	37.87907285
Cal Mart 	1491 Lincoln Ave Calistogoa, CA  94515	-122.5788936	38.5804454
Cal Mart 	3585 California Street San Francisco, CA  94118	-122.4527588	37.78641384
California Organics	135 Argall Way Nevada City, CA  95959	-121.0253231	39.25240758
Canyon Market	2815 Diamond St  San Francisco CA	-122.4336521	37.7340832
Catskills Regional Harvest	27905 NY-28, Andes, NY 13731	-74.78788387	42.22024707
Cheese Plus	2001 Polk St  San Francisco CA	-122.4219061	37.7951937
Chico Natural Foods Cooperative	818 Main St, Chico, CA 95928	-121.8354993	39.72586226
Co-opportunity Markets	1525 Broadway Santa Monica, CA  90404-2717	-118.4828677	34.02444047
Co-opportunity Markets	8770 Washington Blvd Ste C Culver City, CA  90232-2390	-118.3859016	34.02812589
Cowgirl Creamery Cheese Shop at Tomales Bay Foods	80 4th St  Pt Reyes Station CA	-122.8071713	38.0681704
Crop Juice	2320 Gulf Gate Drive Sarasota, FL  34231	-82.51544064	27.25864139
Culture Club	101 1392 E Washington Blvd  Pasadena CA	-118.121902	34.168869
Davis Food Co-op	620 G Street Davis, CA  95616	-121.7399612	38.54937981
Decant SF	1168 Folsom St  San Francisco CA	-122.4096056	37.7757508
Delta Farmer's Market 	2510 State Hwy 12  Isleton CA	-121.6758527	38.1541594
Diablo Foods	3615 Mt Diablo Blvd  Lafayette CA	-122.1244815	37.8906975
Dorcich Family Vineyards	11775 Watsonville Rd  Gilroy CA	-121.655731	37.045376
Draeger's Market	342 1st St, Los Altos, CA 94022	-122.1169571	37.37642144
Draeger's Market	222 E 4th Ave  San Mateo CA	-122.3218342	37.56440365
Draeger's Market	4100 Blackhawk Plaza Circle Danville CA 94506	-121.9187902	37.80123937
Draeger's Market	1010 University Dr, Menlo Park, CA 94025	-122.1855705	37.44913657
Driver's Market	200 Caledonia St  Sausalito CA	-122.4862508	37.859356
Eat with the Seasons	1925 Jerrold Ave San Francisco, CA  94124	-122.3954869	37.74181503
Eastport General Store	510B Montauk Hwy, Eastport, NY 11941	-72.73051371	40.82592441
Eat Like Buddahs	California	-119.4179	36.7783
El Cerrito Natural Grocery	10367 San Pablo Ave  El Cerrito CA	-122.3062782	37.9073284
El Cerrito Natural Grocery Prepared Food Annex	10367 San Pablo Ave  El Cerrito CA	-122.3062782	37.9073284
Elroy's Fine Foods	15 Soledad Dr, Monterey, CA 93940	-121.9038165	36.58450598
Erewhon Market	26767 Agoura Road  Calabasas CA	-118.7075004	34.1408984
Erewhon Market	7660 E Beverly Blvd  Los Angeles CA	-118.1427666	34.0256349
Erewhon Market	4121 Santa Monica Blvd, Silver Lake, CA 90029	-118.2824027	34.09210792
Erewhon Market	585 Venice Blvd  Venice CA	-118.4621998	33.9897855
Erewhon Market	15285 W. Sunset Blvd  Pacific Palisades CA	-118.525608	34.047615
Erewhon Market	2800 Wilshire Blvd  Santa Monica CA	-118.4752192	34.037524
Farm Fresh to You	   CA	-119.4179324	36.778261
