name	address	longitude	latitude
Alameda Natural Grocery	1650 Park St  Alameda CA	-122.2394426	37.7677375
Andronico's Community Markets	900 Lighthouse Ave  Monterey CA	-121.9034848	36.6177995
Andronico's Community Markets	1200 Irving St  San Francisco CA	-122.4711457	37.7641482
Berkeley Bowl Marketplace	2020 Oregon St  Berkeley CA	-122.2672497	37.857113
Berkeley Bowl Marketplace	920 Heinz Ave  Berkeley CA	-122.2903762	37.8535336
Berkeley Farmer's Market, All Organic Thursday Market	Shattuck Ave and Vine St  Berkeley CA	-122.2693585	37.880225
Berkeley Natural Grocery	1336 Gilman St  Berkeley CA	-122.288567	37.880892
Berkeley Student Food Collective	2440 Bancroft Way #102  Berkeley CA	-122.2604369	37.8683181
Bi-Rite Market	3639 18th St  San Francisco CA	-122.4247155	37.7613327
Bi-Rite Market	542 Divisadero St  San Francisco CA	-122.4374981	37.7746874
BŌL Superfood Cafe	129 Miller Ave  Mill Valley CA	-122.5444272	37.9036677
Canyon Market	2815 Diamond St  San Francisco CA	-122.4336521	37.7340832
Cheese Plus	2001 Polk St  San Francisco CA	-122.4219061	37.7951937
Coast Big Sur	49901 Highway 1  Big Sur CA	-121.7254906	36.2019329
Côte West	2012 Dennison St Suite A  Oakland CA	-122.2405111	37.7795652
Cowgirl Creamery Cheese Shop at Tomales Bay Foods	80 4th St  Pt Reyes Station CA	-122.8071713	38.0681704
Cowgirl Creamery Cheese Shop	One Embarcadero No. 17  San Francisco CA	-122.398545	37.7944148
Decant SF	1168 Folsom St  San Francisco CA	-122.4096056	37.7757508
Delta Farmer's Market 	2510 State Hwy 12  Isleton CA	-121.6758527	38.1541594
Diablo Foods	3615 Mt Diablo Blvd  Lafayette CA	-122.1244815	37.8906975
Douglas SF	1598 Sanchez St  San Francisco CA	-122.4290966	37.7436575
Draeger's Market	222 E 4th Ave  San Mateo CA	-122.3214694	37.5642876
Driver's Market	200 Caledonia St  Sausalito CA	-122.4862508	37.859356
El Cerrito Natural Grocery	10367 San Pablo Ave  El Cerrito CA	-122.3062782	37.9073284
El Cerrito Natural Grocery Prepared Food Annex	10367 San Pablo Ave  El Cerrito CA	-122.3062782	37.9073284
Erewhon Market	26767 Agoura Road  Calabasas CA	-118.7075004	34.1408984
Erewhon Market	7660 E Beverly Blvd  Los Angeles CA	-118.1427666	34.0256349
Erewhon Market	15285 W. Sunset Blvd  Pacific Palisades CA	-118.525608	34.047615
Erewhon Market	2800 Wilshire Blvd  Santa Monica CA	-118.4752192	34.037524
Erewhon Market	585 Venice Blvd  Venice CA	-118.4621998	33.9897855
Fare Resources	  Emeryville CA	-122.2892278	37.8395028
Farm Fresh to You	   CA	-119.4179324	36.778261
Firefly Farms	107 S Main St  Accident MD	-79.3200174	39.628151
Foodhall San Francisco 	3100 16th St  San Francisco CA	-122.4221052	37.7651138
Franklin Bros Market	901 Bancroft Way  Berkeley CA	-122.2950939	37.8639044
Good Earth Natural Foods	720 Center Blvd  Fairfax CA	-122.5831381	37.9862744
